original,timestamp,status,reason,assets,fallbacks
https://www.digitalbuyingguide.org/en/privacy/,20200925024517,ok,,1,0
https://www.digitalbuyingguide.org/es/,20201204112519,ok,,3,0
https://www.digitalbuyingguide.org/es/estudios-de-casos/compras-de-emergencia-el-enfoque-digital-de-colombia-para-covid19-es/,20201116112919,ok,,3,0
https://www.digitalbuyingguide.org/es/estudios-de-casos/covid19-y-reforma-de-la-contratacion-publica-en-ecuador-es/,20201217105404,ok,,3,0
https://www.digitalbuyingguide.org/es/estudios-de-casos/incrementando-transparencia-c%C3%B3mo-m%C3%A9xico-est%C3%A1-abriendo-y-conectando-datos-de-la-contrataci%C3%B3n-p%C3%BAblica/,20201212100326,ok,,3,0
https://www.digitalbuyingguide.org/es/la-gu%C3%ADa/,20210413012102,ok,,3,0
https://www.digitalbuyingguide.org/es/la-gu%C3%ADa/administrar-la-entrega/cerrar-el-contrato/,20210509192044,ok,,3,0
https://www.digitalbuyingguide.org/es/la-gu%C3%ADa/evaluar-y-adjudicar/,20210509190156,ok,,3,0
https://www.digitalbuyingguide.org/es/privacy-es/,20210620225541,ok,,3,0
https://www.digitalbuyingguide.org/id/,20201204104935,ok,,3,0
https://www.digitalbuyingguide.org/id/cookies-policy-id/,20210303082609,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/,20201101052530,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/memberi-tahu-pasar/,20210413014255,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/memberi-tahu-pasar/mempromosikan-peluang/,20210413021317,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/memberi-tahu-pasar/menentukan-metode-evaluasi/,20210413010000,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/memberi-tahu-pasar/menentukan-persyaratan-kualifikasi/,20210413003626,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/memberi-tahu-pasar/menjawab-pertanyaan-penyedia/,20210413012827,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengelola-pemenuhan/,20210413022933,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengelola-pemenuhan/mengelola-hubungan-pemasok/,20210413001543,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengelola-pemenuhan/mengelola-pemenuhan-oleh-pemasok/,20210413011540,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengelola-pemenuhan/mengelola-perubahan-kontrak/,20210413020748,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengelola-pemenuhan/menyelesaikan-kontrak/,20210413014517,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengevaluasi-dan-memberikan-kontrak/,20210413015542,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengevaluasi-dan-memberikan-kontrak/memberikan-kontrak/,20210413003721,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengevaluasi-dan-memberikan-kontrak/mengevaluasi-pemasok/,20210413014814,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/mengevaluasi-dan-memberikan-kontrak/menyusun-daftar-pemasok-pilihan/,20210413022056,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/,20210413012015,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/analisis-pasar/,20210413012951,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/bekerja-sama-sebagai-tim/,20210413002823,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/harga-perkiraan-sendiri/,20210413004325,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/memahami-kebutuhan-pengguna/,20210303092637,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/memilih-pendekatan/,20210413011358,ok,,3,0
https://www.digitalbuyingguide.org/id/panduan/merencanakan/menetapkan-hasil/,20210413003953,ok,,3,0
https://www.digitalbuyingguide.org/id/privacy-id/,20210620230921,ok,,3,0
https://www.digitalbuyingguide.org/id/studi-kasus-global/,20210303084924,ok,,3,0
https://www.digitalbuyingguide.org/id/studi-kasus-global/how-scottish-government-has-worked-suppliers-reduce-electronic-waste-id/,20210303083813,ok,,3,0
https://www.digitalbuyingguide.org/id/studi-kasus-global/mendesain-kota-yang-baik-untuk-perempuan-nilai-dari-desain-inklusif/,20201027030038,ok,,3,0
https://www.digitalbuyingguide.org/id/tentang-panduan/,20210303090101,ok,,3,0
